Symbol,Name,Common Shares Outstdg,Shr Out less Closely Held Sh,Shr Out less Closely Held Sh
CDNA,"CareDx, Inc.",51.7,46.1,89.9
CTRE,"CareTrust REIT, Inc.",236.2,234.3,99.5
CARG,"CarGurus, Inc. Class A",90.2,72.3,81.5
CARL,"Carlsmed, Inc.",27.2,8.9,34.6
CSV,Carriage Services Inc.,15.9,14.1,89.4
CARS,"Cars.com, Inc.",55.9,48.5,88.1
CARE,"Carter Bankshares, Inc.",22.2,21.3,96.0
CRI,Carter's Incorporated,36.9,35.1,96.1
RNAC,"Cartesian Therapeutics, Inc.",29.4,10.6,39.8
CWST,"Casella Waste Systems, Inc. Class A",63.6,62.2,97.8
CASS,"Cass Information Systems, Inc.",12.9,11.3,88.2
CSTL,"Castle Biosciences, Inc.",30.3,29.6,97.6
CPRX,"Catalyst Pharmaceuticals, Inc.",122.4,109.9,89.9
CATY,Cathay General Bancorp,67.0,64.0,95.6
CVCO,"Cavco Industries, Inc.",7.8,7.7,94.0
CBFV,"CB Financial Services, Inc.",5.1,4.6,91.3
CBZ,"CBIZ, Inc.",53.6,48.0,89.2
CBL,"CBL & Associates Properties, Inc.",30.9,24.1,79.6
CECO,CECO Environmental Corp.,35.9,29.6,84.2
CELC,Celcuity Inc.,48.3,38.5,76.8
CLDX,"Celldex Therapeutics, Inc.",78.5,76.2,97.1
CSR,Centerspace,16.8,16.7,99.4
CENT,Central Garden & Pet Company,62.3,7.7,13.1
CENTA,Central Garden & Pet Company Class A,62.3,49.2,78.9
CPF,Central Pacific Financial Corp.,26.1,25.4,97.9
LEU,Centrus Energy Corp. Class A,19.7,18.3,92.6
CTRI,"Centuri Holdings, Inc.",100.9,86.2,84.9
CENX,Century Aluminum Company,99.0,67.9,59.9
CCS,"Century Communities, Inc.",28.8,24.8,85.5
CRNC,Cerence Inc.,45.2,40.6,93.7
CBLL,"Ceribell, Inc.",37.9,24.4,64.1
CERS,Cerus Corporation,200.4,189.1,95.3
CEVA,"CEVA, Inc.",27.9,26.7,96.4
CFBK,CF Bankshares Inc,6.5,5.0,77.3
CGON,"CG Oncology, Inc.",88.2,58.5,65.0
CBNA,"Chain Bridge Bancorp, Inc. Class A",6.6,2.8,42.1
CD,Chaince Digital Holdings Inc.,69.9,45.4,60.2
SKY,"Champion Homes, Inc.",55.3,54.4,97.5
GTLS,"Chart Industries, Inc.",47.9,47.5,99.2
CLDT,Chatham Lodging Trust,46.7,45.3,97.2
CAKE,Cheesecake Factory Incorporated,49.7,45.7,92.1
CHEF,"Chefs' Warehouse, Inc.",40.8,36.7,89.5
CC,Chemours Co.,150.4,149.0,99.2
CHMG,Chemung Financial Corporation,4.8,3.6,74.6
CPK,Chesapeake Utilities Corporation,24.0,23.6,98.5
REFI,"Chicago Atlantic Real Estate Finance, Inc.",21.2,18.0,85.6
