cusip,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,error
51807Q900,No data found,,,,,,,,
51807Q950,No data found,,,,,,,,
521865954,No data found,,,,,,,,
51819L907,No data found,,,,,,,,
518415954,No data found,,,,,,,,
524660907,No data found,,,,,,,,
514952900,No data found,,,,,,,,
52490G902,No data found,,,,,,,,
529043908,No data found,,,,,,,,
529043958,No data found,,,,,,,,
53224K902,No data found,,,,,,,,
53229C907,No data found,,,,,,,,
53229C957,No data found,,,,,,,,
53263P905,No data found,,,,,,,,
29003BAW1,No data found,,,,,,,,
52567D957,No data found,,,,,,,,
534187909,No data found,,,,,,,,
526057954,No data found,,,,,,,,
53566V906,No data found,,,,,,,,
538146909,No data found,,,,,,,,
538146959,No data found,,,,,,,,
33883NAE2,No data found,,,,,,,,
53947R905,No data found,,,,,,,,
48206RAE1,No data found,,,,,,,,
55952AAG4,No data found,,,,,,,,
64135KAE9,No data found,,,,,,,,
55261F904,No data found,,,,,,,,
55262C950,No data found,,,,,,,,
526057904,No data found,,,,,,,,
53626N952,No data found,,,,,,,,
53626N902,No data found,,,,,,,,
854502705,,ETD,,,3420,Manufacturing,Cutlery Handtools & General Hardware,,Construction Materials
41154YAA1,No data found,,,,,,,,
33739P202,,ETF,,,,,,,
33883TAE9,No data found,,,,,,,,
33883VAC8,No data found,,,,,,,,
501889908,No data found,,,,,,,,
534187959,No data found,,,,,,,,
36626AAE5,No data found,,,,,,,,
38136HAN9,No data found,,,,,,,,
33733E302,,ETF,,,,,,,
86031P106,No data found,,,,,,,,
337345102,,ETF,,,,,,,
80852487,,ETF,,,,,,,
69690RAA8,No data found,,,,,,,,
580135951,No data found,,,,,,,,
36322BAA8,No data found,,,,,,,,
573874904,No data found,,,,,,,,
870886108,No data found,,,,,,,,
573874954,No data found,,,,,,,,
57636Q954,No data found,,,,,,,,
36240B109,,CEF,,,,,,,
58733R902,No data found,,,,,,,,
69917AAL8,No data found,,,,,,,,
87873R101,No data found,,,,,,,,
57667L907,No data found,,,,,,,,
870123106,No data found,,,,,,,,
67115XAE8,No data found,,,,,,,,
67116BAG0,No data found,,,,,,,,
67707NAA2,No data found,,,,,,,,
58933Y905,No data found,,,,,,,,
67706YAE1,No data found,,,,,,,,
67115MAE2,No data found,,,,,,,,
55306N904,No data found,,,,,,,,
554382951,No data found,,,,,,,,
56117J950,No data found,,,,,,,,
36246K103,,CEF,,,,,,,
57060D908,No data found,,,,,,,,
75009PAJ6,No data found,,,,,,,,
879105104,,CEF,,,,,,,
67109HAL5,No data found,,,,,,,,
573284906,No data found,,,,,,,,
57060D958,,,,,,,,,No data found
576485955,,,,,,,,,No data found
73052WAA1,,,,,,,,,No data found
69356AAU6,,,,,,,,,No data found
75887NBL2,,,,,,,,,No data found
57638P904,,,,,,,,,No data found
67110VAJ6,,,,,,,,,No data found
58155Q903,,,,,,,,,No data found
576485905,,,,,,,,,No data found
58155Q953,,,,,,,,,No data found
69702XAE3,,,,,,,,,No data found
58468P906,,,,,,,,,No data found
58502B906,,,,,,,,,No data found
58507V907,,,,,,,,,No data found
58507V957,,,,,,,,,No data found
589378958,,,,,,,,,No data found
589378908,,,,,,,,,No data found
59001A902,,,,,,,,,No data found
590479908,,,,,,,,,No data found
75009GAJ6,,,,,,,,,No data found
590717901,,,,,,,,,No data found
89624HAA9,,,,,,,,,No data found
94958DAA4,,,,,,,,,No data found
005499131,,,,,,,,,No data found
005579107,,,,,,,,,No data found
006412568,,,,,,,,,No data found
87169VBA2,,,,,,,,,No data found
878520204,,,,,,,,,No data found
876570607,,,,,,,,,No data found
40167F101,CEF,,,,,,,,
41013V100,CEF,,,,,,,,
37950E341,ETF,,,,,,,,
006870490,,,,,,,,,No data found
617446958,,,,,,,,,No data found
41013W108,CEF,,,,,,,,
639057907,,,,,,,,,No data found
007332687,,,,,,,,,No data found
005231485,,,,,,,,,No data found
590717951,,,,,,,,,No data found
63942X956,,,,,,,,,No data found
64110W902,,,,,,,,,No data found
59124U955,,,,,,,,,No data found
006010906,,,,,,,,,No data found
591520900,,,,,,,,,No data found
59503A904,,,,,,,,,No data found
59503A954,,,,,,,,,No data found
59540G957,,,,,,,,,No data found
597742905,,,,,,,,,No data found
59982U900,,,,,,,,,No data found
59982U950,,,,,,,,,No data found
602496901,,,,,,,,,No data found
595017954,,,,,,,,,No data found
43010E404,CEF,,,,,,,,
602496951,,,,,,,,,No data found
606710900,,,,,,,,,No data found
606710950,,,,,,,,,No data found
60770K957,,,,,,,,,No data found
60687Y909,,,,,,,,,No data found
60800C958,,,,,,,,,No data found
612160901,,,,,,,,,No data found
620076907,,,,,,,,,No data found
61559X954,,,,,,,,,No data found
617700909,,,,,,,,,No data found
620076957,,,,,,,,,No data found
594972958,,,,,,,,,No data found
624580906,,,,,,,,,No data found
628464909,,,,,,,,,No data found
608190954,,,,,,,,,No data found
62913M907,,,,,,,,,No data found
63888P956,,,,,,,,,No data found
