cusip,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,error
88332T118,Domestic Common Stock Warrant,Industrials,Travel Services,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
871628301,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,2990,Manufacturing,Miscellaneous Products Of Petroleum & Coal,,Petroleum and Natural Gas,
88605L206,ADR Common Stock Secondary Class,Financial Services,Capital Markets,6199,Finance Insurance And Real Estate,Finance Services,,Banking,
88605T118,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
887080109,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
89157G116,Domestic Common Stock Warrant,Industrials,Tools & Accessories,3420,Manufacturing,Cutlery Handtools & General Hardware,,Construction Materials,
88875G101,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
664121100,Domestic Common Stock,Financial Services,Banks - Regional,6036,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,,Banking,
91274U101,Domestic Common Stock Primary Class,Energy,Oil & Gas Midstream,1389,Mining,Oil & Gas Field Services Nec,,Petroleum and Natural Gas,
92244F117,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
92259E112,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
92337U112,Domestic Common Stock Warrant,Technology,Software - Application,7200,Services,Services-Personal Services,,Personal Services,
92829J104,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
87978U108,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
G0371B109,Domestic Common Stock,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G0542N115,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
